"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"p0815",224.176066658784,1.78803242381284,0.23605722163612,7.57457201020981,3.60313492821843e-14,1.42185247552004e-13
"p0817",366.399281248222,-1.05915404218896,0.186625689022,-5.67528536794365,1.3845764558053e-08,4.08211334383976e-08
"p0820",556.649817883404,2.14871958352067,0.147567501909622,14.5609267332902,4.97783766849892e-48,4.45400707663944e-47
"p0821",514.691301069171,1.10709336573747,0.148818104828602,7.43923843817624,1.01267396212925e-13,3.86725862957051e-13
"p0822",563.01118935686,1.04560191425297,0.142808655536552,7.32169846655651,2.44851853661766e-13,9.1909025069624e-13
"p0823",383.560551985411,1.29771041844769,0.190297869316283,6.81936389046393,9.14445046865286e-12,3.14839133585162e-11
"p0824",191.24591634585,1.12991224170273,0.250417587587968,4.51211215867896,6.41852297607087e-06,1.54104631203948e-05
"p0827",449.480065324671,-1.84591179318679,0.179311269705106,-10.2944549788898,7.46410614043946e-25,4.0734962234526e-24
"p0833",172.210544461953,1.16972995881435,0.242322820596443,4.82715559325047,1.38496915350507e-06,3.47710852731533e-06
"p0838",5539.26559739746,-1.60852811208748,0.0807157007910169,-19.9283174936703,2.3120479653507e-88,4.04345661213037e-87
"p0839",4048.97503281377,1.26713588072286,0.0797243443005637,15.8939642820481,6.97720985608019e-57,7.15861731233828e-56
"p0841",312.438784824833,-1.76492055791883,0.206185574630014,-8.55986438957167,1.13000360244797e-17,5.07019109086714e-17
"p0849",187.513027160698,-1.26698788433245,0.252216637784957,-5.02341120498443,5.07616992198418e-07,1.32860978060096e-06
"p0853",1306.48941587301,-1.7597658058046,0.118946872302113,-14.7945529945081,1.58836039159775e-49,1.45505157301722e-48
"p0857",1040.7067094685,-1.41863517881121,0.124036335709655,-11.437254822909,2.72367683425289e-30,1.72499532836016e-29
"p0858",701.312426389798,-2.2719096851853,0.157052972086494,-14.4658815112018,1.99038537550248e-47,1.76046154764271e-46
