"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"p1408",145.365792451333,0.700747449995645,0.269064484902966,2.60438478251175,0.00920393611230071,0.0148167967330866
"p1409",441.817736622167,-1.09028332222499,0.171432589462175,-6.35983698108663,2.01967981244714e-10,6.51632543261248e-10
"p1410",130.198221139933,1.44231122718694,0.320267034472431,4.50346452160719,6.68545329779757e-06,1.60263436531316e-05
"p1411",159.791785763954,-0.314585065131595,0.272344182566079,-1.15510110099476,0.248049027425512,0.306378373361046
"p1412",1516.37139964499,-2.08345428634146,0.114879772341356,-18.1359541708582,1.65796286060676e-73,2.19965934696017e-72
"p1413",814.934276154181,-1.0254051770569,0.129419103835045,-7.92313612651703,2.3159379465683e-15,9.60708490503669e-15
"p1414",1057.22800404034,-0.241581441289484,0.119132875246508,-2.02783187083841,0.0425774103820314,0.062051737289722
"p1415",387.28629472653,1.92096683732409,0.17283249297864,11.1146162635142,1.06507543018583e-28,6.50456780577776e-28
"p1416",391.65408320841,-0.628242172572756,0.185597928605891,-3.38496327675509,0.000711877777897504,0.00136266156739336
"p1417",194.447454462026,-0.773359050994521,0.241177109022558,-3.20660221083497,0.00134312581094029,0.00247553368028396
"p1418",124.466387768457,-0.0901898100121575,0.292399647885813,-0.308447054106502,0.757742182099693,0.798536274064381
"p1419",323.220865544177,-1.36032043879761,0.199824274084497,-6.80758353823613,9.92516803414755e-12,3.40956107244488e-11
"p1420",186.723513150054,0.417083195841202,0.239404372966753,1.74217033161346,0.0814786437515888,0.112572841737265
"p1421",2448.85314897756,-1.77982532605565,0.0938972793063686,-18.9550255258028,4.01359163850087e-80,6.05580150162043e-79
"p1422",4471.96680349065,-1.24897672501646,0.0781711921534973,-15.9774552569694,1.8348493527897e-57,1.90799537428605e-56
"p1423",3456.06260745541,-0.439160710178801,0.0921455475534759,-4.76594606943908,1.87969537085906e-06,4.66588899314855e-06
"p1424",180.794460322487,0.0812464381737172,0.240987832764154,0.337139171060267,0.73601198992683,0.779038825651576
